,Id,City,State
0,0,#,Santa Catarina
1,1,Município,Santa Catarina
2,2,Município,Santa Catarina
3,3,"Localização
",Santa Catarina
4,4,1,Santa Catarina
5,5,Abdon Batista,Santa Catarina
6,6,Abdon Batista,Santa Catarina
7,7,4200051,Santa Catarina
8,8,2,Santa Catarina
9,9,Abelardo Luz,Santa Catarina
10,10,Abelardo Luz,Santa Catarina
11,11,4200101,Santa Catarina
12,12,3,Santa Catarina
13,13,Agrolândia,Santa Catarina
14,14,Agrolândia,Santa Catarina
15,15,4200200,Santa Catarina
16,16,4,Santa Catarina
17,17,Agronômica,Santa Catarina
18,18,Agronômica,Santa Catarina
19,19,4200309,Santa Catarina
20,20,5,Santa Catarina
21,21,Água Doce,Santa Catarina
22,22,Água Doce,Santa Catarina
23,23,4200408,Santa Catarina
24,24,6,Santa Catarina
25,25,Águas de Chapecó,Santa Catarina
26,26,Águas de Chapecó,Santa Catarina
27,27,4200507,Santa Catarina
28,28,7,Santa Catarina
29,29,Águas Frias,Santa Catarina
30,30,Águas Frias,Santa Catarina
31,31,4200556,Santa Catarina
32,32,8,Santa Catarina
33,33,Águas Mornas,Santa Catarina
34,34,Águas Mornas,Santa Catarina
35,35,4200606,Santa Catarina
36,36,9,Santa Catarina
37,37,Alfredo Wagner,Santa Catarina
38,38,Alfredo Wagner,Santa Catarina
39,39,4200705,Santa Catarina
40,40,10,Santa Catarina
41,41,Alto Bela Vista,Santa Catarina
42,42,Alto Bela Vista,Santa Catarina
43,43,4200754,Santa Catarina
44,44,11,Santa Catarina
45,45,Anchieta,Santa Catarina
46,46,Anchieta,Santa Catarina
47,47,4200804,Santa Catarina
48,48,12,Santa Catarina
49,49,Angelina,Santa Catarina
50,50,Angelina,Santa Catarina
51,51,4200903,Santa Catarina
52,52,13,Santa Catarina
53,53,Anita Garibaldi,Santa Catarina
54,54,Anita Garibaldi,Santa Catarina
55,55,4201000,Santa Catarina
56,56,14,Santa Catarina
57,57,Anitápolis,Santa Catarina
58,58,Anitápolis,Santa Catarina
59,59,4201109,Santa Catarina
60,60,15,Santa Catarina
61,61,Antônio Carlos,Santa Catarina
62,62,Antônio Carlos,Santa Catarina
63,63,4201208,Santa Catarina
64,64,16,Santa Catarina
65,65,Apiúna,Santa Catarina
66,66,Apiúna,Santa Catarina
67,67,4201257,Santa Catarina
68,68,17,Santa Catarina
69,69,Arabutã,Santa Catarina
70,70,Arabutã,Santa Catarina
71,71,4201273,Santa Catarina
72,72,18,Santa Catarina
73,73,Araquari,Santa Catarina
74,74,Araquari,Santa Catarina
75,75,4201307,Santa Catarina
76,76,19,Santa Catarina
77,77,Araranguá,Santa Catarina
78,78,Araranguá,Santa Catarina
79,79,4201406,Santa Catarina
80,80,20,Santa Catarina
81,81,Armazém,Santa Catarina
82,82,Armazém,Santa Catarina
83,83,4201505,Santa Catarina
84,84,21,Santa Catarina
85,85,Arroio Trinta,Santa Catarina
86,86,Arroio Trinta,Santa Catarina
87,87,4201604,Santa Catarina
88,88,22,Santa Catarina
89,89,Arvoredo,Santa Catarina
90,90,Arvoredo,Santa Catarina
91,91,4201653,Santa Catarina
92,92,23,Santa Catarina
93,93,Ascurra,Santa Catarina
94,94,Ascurra,Santa Catarina
95,95,4201703,Santa Catarina
96,96,24,Santa Catarina
97,97,Atalanta,Santa Catarina
98,98,Atalanta,Santa Catarina
99,99,4201802,Santa Catarina
100,100,25,Santa Catarina
101,101,Aurora,Santa Catarina
102,102,Aurora,Santa Catarina
103,103,4201901,Santa Catarina
104,104,26,Santa Catarina
105,105,Balneário Arroio do Silva,Santa Catarina
106,106,Balneário Arroio do Silva,Santa Catarina
107,107,4201950,Santa Catarina
108,108,27,Santa Catarina
109,109,Balneário Barra do Sul,Santa Catarina
110,110,Balneário Barra do Sul,Santa Catarina
111,111,4202057,Santa Catarina
112,112,28,Santa Catarina
113,113,Balneário Camboriú,Santa Catarina
114,114,Balneário Camboriú,Santa Catarina
115,115,4202008,Santa Catarina
116,116,29,Santa Catarina
117,117,Balneário Gaivota,Santa Catarina
118,118,Balneário Gaivota,Santa Catarina
119,119,4202073,Santa Catarina
120,120,30,Santa Catarina
121,121,Balneário Piçarras,Santa Catarina
122,122,Balneário Piçarras,Santa Catarina
123,123,4212809,Santa Catarina
124,124,31,Santa Catarina
125,125,Balneário Rincão,Santa Catarina
126,126,Balneário Rincão,Santa Catarina
127,127,4220000,Santa Catarina
128,128,"
",Santa Catarina
129,129,32,Santa Catarina
130,130,Bandeirante,Santa Catarina
131,131,Bandeirante,Santa Catarina
132,132,4202081,Santa Catarina
133,133,33,Santa Catarina
134,134,Barra Bonita,Santa Catarina
135,135,Barra Bonita,Santa Catarina
136,136,4202099,Santa Catarina
137,137,34,Santa Catarina
138,138,Barra Velha,Santa Catarina
139,139,Barra Velha,Santa Catarina
140,140,4202107,Santa Catarina
141,141,35,Santa Catarina
142,142,Bela Vista do Toldo,Santa Catarina
143,143,Bela Vista do Toldo,Santa Catarina
144,144,4202131,Santa Catarina
145,145,36,Santa Catarina
146,146,Belmonte,Santa Catarina
147,147,Belmonte,Santa Catarina
148,148,4202156,Santa Catarina
149,149,37,Santa Catarina
150,150,Benedito Novo,Santa Catarina
151,151,Benedito Novo,Santa Catarina
152,152,4202206,Santa Catarina
153,153,38,Santa Catarina
154,154,Biguaçu,Santa Catarina
155,155,Biguaçu,Santa Catarina
156,156,4202305,Santa Catarina
157,157,39,Santa Catarina
158,158,Blumenau,Santa Catarina
159,159,Blumenau,Santa Catarina
160,160,4202404,Santa Catarina
161,161,40,Santa Catarina
162,162,Bocaina do Sul,Santa Catarina
163,163,Bocaina do Sul,Santa Catarina
164,164,4202438,Santa Catarina
165,165,41,Santa Catarina
166,166,Bom Jardim da Serra,Santa Catarina
167,167,Bom Jardim da Serra,Santa Catarina
168,168,4202503,Santa Catarina
169,169,42,Santa Catarina
170,170,Bom Jesus,Santa Catarina
171,171,Bom Jesus,Santa Catarina
172,172,4202537,Santa Catarina
173,173,43,Santa Catarina
174,174,Bom Jesus do Oeste,Santa Catarina
175,175,Bom Jesus do Oeste,Santa Catarina
176,176,4202578,Santa Catarina
177,177,44,Santa Catarina
178,178,Bom Retiro,Santa Catarina
179,179,Bom Retiro,Santa Catarina
180,180,4202602,Santa Catarina
181,181,45,Santa Catarina
182,182,Bombinhas,Santa Catarina
183,183,Bombinhas,Santa Catarina
184,184,4202453,Santa Catarina
185,185,46,Santa Catarina
186,186,Botuverá,Santa Catarina
187,187,Botuverá,Santa Catarina
188,188,4202701,Santa Catarina
189,189,47,Santa Catarina
190,190,Braço do Norte,Santa Catarina
191,191,Braço do Norte,Santa Catarina
192,192,4202800,Santa Catarina
193,193,48,Santa Catarina
194,194,Braço do Trombudo,Santa Catarina
195,195,Braço do Trombudo,Santa Catarina
196,196,4202859,Santa Catarina
197,197,49,Santa Catarina
198,198,Brunópolis,Santa Catarina
199,199,Brunópolis,Santa Catarina
200,200,4202875,Santa Catarina
201,201,50,Santa Catarina
202,202,Brusque,Santa Catarina
203,203,Brusque,Santa Catarina
204,204,4202909,Santa Catarina
205,205,51,Santa Catarina
206,206,Caçador,Santa Catarina
207,207,Caçador,Santa Catarina
208,208,4203006,Santa Catarina
209,209,52,Santa Catarina
210,210,Caibi,Santa Catarina
211,211,Caibi,Santa Catarina
212,212,4203105,Santa Catarina
213,213,53,Santa Catarina
214,214,Calmon,Santa Catarina
215,215,Calmon,Santa Catarina
216,216,4203154,Santa Catarina
217,217,54,Santa Catarina
218,218,Camboriú,Santa Catarina
219,219,Camboriú,Santa Catarina
220,220,4203204,Santa Catarina
221,221,55,Santa Catarina
222,222,Campo Alegre,Santa Catarina
223,223,Campo Alegre,Santa Catarina
224,224,4203303,Santa Catarina
225,225,56,Santa Catarina
226,226,Campo Belo do Sul,Santa Catarina
227,227,Campo Belo do Sul,Santa Catarina
228,228,4203402,Santa Catarina
229,229,57,Santa Catarina
230,230,Campo Erê,Santa Catarina
231,231,Campo Erê,Santa Catarina
232,232,4203501,Santa Catarina
233,233,58,Santa Catarina
234,234,Campos Novos,Santa Catarina
235,235,Campos Novos,Santa Catarina
236,236,4203600,Santa Catarina
237,237,59,Santa Catarina
238,238,Canelinha,Santa Catarina
239,239,Canelinha,Santa Catarina
240,240,4203709,Santa Catarina
241,241,60,Santa Catarina
242,242,Canoinhas,Santa Catarina
243,243,Canoinhas,Santa Catarina
244,244,4203808,Santa Catarina
245,245,61,Santa Catarina
246,246,Capão Alto,Santa Catarina
247,247,Capão Alto,Santa Catarina
248,248,4203253,Santa Catarina
249,249,62,Santa Catarina
250,250,Capinzal,Santa Catarina
251,251,Capinzal,Santa Catarina
252,252,4203907,Santa Catarina
253,253,63,Santa Catarina
254,254,Capivari de Baixo,Santa Catarina
255,255,Capivari de Baixo,Santa Catarina
256,256,4203956,Santa Catarina
257,257,64,Santa Catarina
258,258,Catanduvas,Santa Catarina
259,259,Catanduvas,Santa Catarina
260,260,4204004,Santa Catarina
261,261,65,Santa Catarina
262,262,Caxambu do Sul,Santa Catarina
263,263,Caxambu do Sul,Santa Catarina
264,264,4204103,Santa Catarina
265,265,66,Santa Catarina
266,266,Celso Ramos,Santa Catarina
267,267,Celso Ramos,Santa Catarina
268,268,4204152,Santa Catarina
269,269,67,Santa Catarina
270,270,Cerro Negro,Santa Catarina
271,271,Cerro Negro,Santa Catarina
272,272,4204178,Santa Catarina
273,273,68,Santa Catarina
274,274,Chapadão do Lageado,Santa Catarina
275,275,Chapadão do Lageado,Santa Catarina
276,276,4204194,Santa Catarina
277,277,69,Santa Catarina
278,278,Chapecó,Santa Catarina
279,279,Chapecó,Santa Catarina
280,280,4204202,Santa Catarina
281,281,70,Santa Catarina
282,282,Cocal do Sul,Santa Catarina
283,283,Cocal do Sul,Santa Catarina
284,284,4204251,Santa Catarina
285,285,71,Santa Catarina
286,286,Concórdia,Santa Catarina
287,287,Concórdia,Santa Catarina
288,288,4204301,Santa Catarina
289,289,72,Santa Catarina
290,290,Cordilheira Alta,Santa Catarina
291,291,Cordilheira Alta,Santa Catarina
292,292,4204350,Santa Catarina
293,293,73,Santa Catarina
294,294,Coronel Freitas,Santa Catarina
295,295,Coronel Freitas,Santa Catarina
296,296,4204400,Santa Catarina
297,297,74,Santa Catarina
298,298,Coronel Martins,Santa Catarina
299,299,Coronel Martins,Santa Catarina
300,300,4204459,Santa Catarina
301,301,75,Santa Catarina
302,302,Correia Pinto,Santa Catarina
303,303,Correia Pinto,Santa Catarina
304,304,4204558,Santa Catarina
305,305,76,Santa Catarina
306,306,Corupá,Santa Catarina
307,307,Corupá,Santa Catarina
308,308,4204509,Santa Catarina
309,309,77,Santa Catarina
310,310,Criciúma,Santa Catarina
311,311,Criciúma,Santa Catarina
312,312,4204608,Santa Catarina
313,313,78,Santa Catarina
314,314,Cunha Porã,Santa Catarina
315,315,Cunha Porã,Santa Catarina
316,316,4204707,Santa Catarina
317,317,79,Santa Catarina
318,318,Cunhataí,Santa Catarina
319,319,Cunhataí,Santa Catarina
320,320,4204756,Santa Catarina
321,321,80,Santa Catarina
322,322,Curitibanos,Santa Catarina
323,323,Curitibanos,Santa Catarina
324,324,4204806,Santa Catarina
325,325,81,Santa Catarina
326,326,Descanso,Santa Catarina
327,327,Descanso,Santa Catarina
328,328,4204905,Santa Catarina
329,329,82,Santa Catarina
330,330,Dionísio Cerqueira,Santa Catarina
331,331,Dionísio Cerqueira,Santa Catarina
332,332,4205001,Santa Catarina
333,333,83,Santa Catarina
334,334,Dona Emma,Santa Catarina
335,335,Dona Emma,Santa Catarina
336,336,4205100,Santa Catarina
337,337,84,Santa Catarina
338,338,Doutor Pedrinho,Santa Catarina
339,339,Doutor Pedrinho,Santa Catarina
340,340,4205159,Santa Catarina
341,341,85,Santa Catarina
342,342,Entre Rios,Santa Catarina
343,343,Entre Rios,Santa Catarina
344,344,4205175,Santa Catarina
345,345,86,Santa Catarina
346,346,Ermo,Santa Catarina
347,347,Ermo,Santa Catarina
348,348,4205191,Santa Catarina
349,349,87,Santa Catarina
350,350,Erval Velho,Santa Catarina
351,351,Erval Velho,Santa Catarina
352,352,4205209,Santa Catarina
353,353,88,Santa Catarina
354,354,Faxinal dos Guedes,Santa Catarina
